拼音城市,出现次数,中文城市,备注
JIUQUAN,33,酒泉,
GUANGDONG,32,广东,
HEBEI,32,河北,
CANGZHOU,31,沧州,
LANGFANG,30,廊坊,
XINXIANG,30,新乡,
CHIFENG,30,赤峰,
HUIZHOU,29,惠州,
QINHUANGDAO,27,青岛,需填写
LIAONING,27,辽宁,
SHAOXING,26,绍兴,
YUEYANG,26,岳阳,
JINZHOU,26,锦州,
XIANNING,25,咸宁,
LIUZHOU,25,柳州,
HEZE,25,菏泽,
CHAOYANG,25,朝阳,
XIAMEN,25,厦门,
WULUMUQI,24,乌鲁木齐,需填写
ZHANGJIAKOU,24,张家口,
TAICHUNG,24,台中,
SUINING,23,遂宁,
GANZHOU,23,赣州,
CHAOZHOU,22,潮州,
JINGZHOU,22,荆州,
SHANXI,22,山西,
YIBIN,22,宜宾,
XINING,22,西宁,
BAOJI,22,宝鸡,
SICHUAN,21,四川,
XUCHANG,21,许昌,
ZHUZHOU,21,株洲,需填写
BENGBU,21,蚌埠,
DEYANG,21,德阳,
DATONG,20,大同,
SHENZHENGUANGDONG,20,深圳,需填写
XIANGYANG,20,咸阳,需填写
JIANGMEN,20,江门,
HUNAN,20,湖南,
KORLA,19,库尔勒,需填写
QIQIHAR,19,齐齐哈尔,
ZHUHAI,19,珠海,
ZAOZHUANG,19,枣庄,
HUBEI,19,湖北,
NANYANG,19,南阳,
XIANGTAN,18,湘潭,
LANZHOUGANSU,18,甘肃,需填写
YINCHUAN,18,银川,
JINHUA,18,金华,
CHUXIONG,17,楚雄,需填写
HUHEHAOTE,17,呼和浩特,需填写
FUSHUN,17,抚顺,
ZHONGWEI,16,中卫,
YANGQUAN,16,阳泉,需填写
RUGAOJIANGSU,16,如皋,需填写
SHAOGUAN,16,韶关,
LIAOCHENG,16,聊城,
MIYUN,16,密云,需填写
NANCHONG,15,南充,
NANJINGJIANGSU,15,南京,需填写
CHUZHOU,15,滁州,
DANDONG,15,丹东,
HENAN,15,河南,
BINZHOU,15,滨州,
LHASA,15,拉萨,需填写
TAOYUAN,15,桃园,
HUZHOU,14,湖州,
ANHUI,14,安徽,
MAANSHAN,14,马鞍山,
RIZHAO,14,日照,
SUQIAN,14,宿迁,
HUAINAN,14,淮南,
MEIZHOU,14,梅州,
PANJIN,14,盘锦,
CHANGJI,13,昌吉,
XIANYANG,13,咸阳,
SONGYUAN,13,松原,需填写
SHUOZHOU,13,朔州,
MIANYANG,13,绵阳,
DEZHOU,13,德州,
TONGLIAO,12,通辽,需填写
HULUNBUIR,12,呼伦贝尔,需填写
YUNNAN,12,云南,
BENXI,12,本息,
ZHEJIANG,12,浙江,
WUHANHUBEI,12,呼伦贝尔,需填写
HAIDIAN,12,海淀,需填写
TAINAN,12,台南,
KOWLOON,11,香港,
ENSHI,11,恩施,
GUIZHOU,11,贵州,
FOSHANCITY,11,佛山,需填写
GUANGXI,11,广西,
MAOMING,11,茂名,需填写
SHENYANGLIAONING,11,沈阳,需填写
BJ,11,北京,需填写
LIANYUNGANG,11,连云港,
HEYUAN,11,河源,
JIANGYIN,11,江阴,需填写
DAZHOU,11,达州,
SIPING,11,四平,需填写
NONTONG,11,南通,需填写
CHANGSHAHUNAN,10,长沙,需填写
XICHANG,10,西昌,需填写
HANGZHOUZHEJIANG,10,杭州,需填写
GUANGYUAN,10,广元,
CHANGDE,10,常德,
KUNMINGYUNNAN,10,昆明,需填写
YICHUN,10,宜春,
JIAMUSI,10,佳木斯,
QINZHOU,10,钦州,
JINGMEN,10,荆门,
ORDOS,10,鄂尔多斯,需填写
HULUDAO,10,葫芦岛,
KUNSHAN,10,昆山,需填写
XINJIANG,9,新疆,
TIANJINCITY,9,天津,需填写
YUNCHENG,9,运城,
URUMUQI,9,乌鲁木齐,需填写
CHENGDUSICHUANPROVINCE,9,成都,需填写
HAINAN,9,海南,需填写
XINXIANGSHI,9,西安,需填写
TANGSHANCITY,9,唐山,需填写
GANSU,9,甘肃,
YULIN,9,榆林,
ZHENGZHOUHENAN,9,郑州,需填写
SUIHUA,9,绥化,
FENGTAI,9,丰台,需填写
TIANJINTIANJIN,9,天津,需填写
QHD,9,秦皇岛,
JINZHONG,9,晋中,
LINFEN,9,临汾,需填写
CHENDU,9,成都,需填写
CHANGZHOUJIANGSU,9,江苏,
GUIZHOUXINGYI,8,兴义,需填写
KARAMAY,8,克拉玛依,
JINANCITY,8,市,
CANTON,8,广州,
SHIJIAZHUANGHEBEI,8,河北,
LINYISHANDONG,8,山东,
YIXING,8,宜兴,需填写
HUANGGANG,8,黄冈,
CHANGPING,8,昌平,
JILINCITY,8,市,
CHENGDUCITY,8,成都,需填写
ZUNYI,8,遵义,
QUJING,8,曲靖,
LOUDI,8,娄底,
SHANTOU,8,汕头,
BOLE,7,博乐,
URUMQIXINJIANG,7,新疆,
SUZHOUJIANGSU,7,江苏,
XIANSHAANXIPROVINCE,7,西安,需填写
GUANGXIGUILIN,7,桂林,需填写
HENGSHUIHEBEI,7,河北,
DAQINGHEILONGJIANG,7,黑龙江,
BEIHAI,7,北海,
GUANGAN,7,广安,
NEIMENGGU,7,内蒙古,
ANQING,7,安庆,
MUDANJIANG,7,牡丹江,
CHENGDUSHI,7,市,
HEILONGJIANG,7,黑龙江,
JINANSHANDONG,7,山东,
JINANCITYSHANDONGPROVINCE,7,山东,需填写
ZHOUSHAN,7,舟山,
JIAOZUO,7,焦作,
SHIHEZI,7,石河子,
CHENGDE,7,承德,
ZHANJIANG,7,湛江,
FUYANG,7,阜阳,
GUANGZHOUGUANGDONG,7,广东,
ZHOUKOU,7,周口,
URMUQI,6,乌鲁木齐,
CHONGQIN,6,重庆,
GUANGZHOUCITYGUANGDONGPROVINCE,6,广东,需填写
TAIYUANSHANXI,6,山西,
HAINING,6,海宁,
QINGHAI,6,青海,
SANYA,6,三亚,
AKESU,6,阿克苏,
QUJIN,6,曲靖,
ANYANG,6,安阳,
HAMI,6,哈密,
SHAANXI,6,陕西,
PINGDINGSHAN,6,平顶山,
JIANGXI,6,江西,
HANZHONG,6,汉中,
ZHANGJIAGANG,6,张家港,
JIXI,6,鸡西,
YAAN,6,雅安,
SHOUGUANG,6,寿光,
XINYANG,6,信阳,
TANGSHANCITYHEBEIPROVINCE,6,河北,需填写
TONGZHOU,6,通州,
QIANJIANG,6,潜江,
FUQING,6,福清,
KAIFENG,6,开封,
ZHAOQING,6,肇庆,
LUAN,6,六安,
SHIYAN,6,十堰,
GUANGXILIUZHOU,6,柳州,需填写
WUWEI,6,武威,
GANSULANZHOU,6,兰州,需填写
LASA,6,拉萨,
RUYANG,6,汝阳,
LIUPANSHUI,6,六盘水,
HSINCHU,6,新竹,
MACAO,5,澳门,
URUMQICITYXINJIAN,5,乌鲁木齐,需填写
WUZHOUGUANGXICHINA,5,梧州,需填写
KASHI,5,喀什,
JININGSHANDONG,5,济宁,
NANNINGCITY,5,市,
QINGDAOSHANDONG,5,青岛,
HUAIBEI,5,淮北,
LIANYUNGANGCITYJIANGSUPROVINCE,5,江苏,需填写
SHIJIAZHUANGCITY,5,市,
BEIJNG,5,北京,
HUANGSHAN,5,黄山,
YUYAO,5,余姚,
YANBIAN,5,延边,
SHANGQIU,5,商丘,
BEIJIN,5,北京,
SHANXIDATONG,5,大同,需填写
SHENZHENG,5,深圳,
BAICHENG,5,白城,
ZIBOSHANDONG,5,山东,
YINGKOU,5,营口,
HUANGSHI,5,黄石,
SHENZHENCITY,5,市,
YIWU,5,义乌,
HENANZHENGZHOU,5,郑州,需填写
GUANGZHOUCITY,5,市,
HUAIHUA,5,怀化,
CHENGDUCITYSICHUAN,5,四川,
INNERMONGOLIA,5,内蒙古,
JIUJIANG,5,九江,
CHENZHOU,5,郴州,
DALIANCITYLIAONINGPROVINCE,5,辽宁,需填写
SICHUANDAZHOU,5,达州,需填写
YUNFU,5,云浮,
LUOYANGHENAN,5,河南,
HHHT,5,呼和浩特,
KAOHSIUNG,5,高雄,
NEWTAIPEI,5,新北,
NEWTAIPEICITY,5,新北市,
HKG,4,香港,
HK,4,香港,
ZHANGJIAJIE,4,张家界,
LEIZHOU,4,雷州,
GUANGMINGNEWDISTRI,4,光明新区,需填写
FOSHANGUANGDONG,4,广东,
WUSU,4,乌苏,
SHANDONGWEIFANG,4,潍坊,需填写
WEIHAISHANDONG,4,山东,
JIANGSUNANTONG,4,南通,需填写
YUXICITYYUNNANPROVINCE,4,云南,需填写
SHANGHAICHINA,4,上海,需填写
CHENGDUCITYSICHUANPROVINCE,4,四川,需填写
NANTONGJIANGSU,4,江苏,
HAIDIANBEIJING,4,北京海淀,需填写
NANTONGCITYJIANGSUPROVINCE,4,江苏,需填写
HEIHE,4,黑河,
SJZ,4,石家庄,
ANPING,4,安平,
QUFU,4,曲阜,
SHUANGYASHAN,4,双鸭山,
SHIJIANZHUANG,4,石家庄,
DALIANLIAONING,4,辽宁,
JS,4,江苏,
QQHR,4,齐齐哈尔,
CHIZHOU,4,池州,
CHANGZHI,4,长治,
QUZHOU,4,衢州,
HUHHOT,4,呼和浩特,
HUBEIWUHAN,4,武汉,需填写
FUXIN,4,阜新,
LIAONINGSHENYANG,4,沈阳,需填写
JIEYANG,4,揭阳,
QINGYANG,4,庆阳,
SHANWEI,4,汕尾,
NANPINGCHINA,4,南平,需填写
HEFEIANHUI,4,安徽,
NANTONGSHI,4,南通市,
LESHAN,4,乐山,
MEISHAN,4,眉山,
CHANGCHUNCITY,4,长春市,
BIJIESHI,4,市,
ZIGONG,4,自贡,
WUHAI,4,乌海,
CHANGCHUNJILIN,4,吉林,
SHANGLUO,4,商洛,
SHUNYI,4,顺义,
TSINGTAO,4,青岛,
TACHENG,4,塔城,
CHAOYANGDISTRICTBEIJING,4,北京朝阳,需填写
JIAYUGUAN,4,嘉峪关,
LUOYANGCITYHENANPROVINCE,4,河南,需填写
JIANGMENG,4,江门,
HEGANG,4,鹤岗,
BEIJINGSHI,4,北京市,
PINGTUNG,4,屏东,
KEELUNG,4,基隆,
MACAU,3,澳门,
DATONGSHANXI,3,山西,
SHANGHAICITY,3,上海市,
ZAOZHUANGTENGZHOU,3,枣庄滕州,需填写
CHIAN,3,中国,
KARAMAYXINJIANG,3,新疆,
XUZHOUJIANGSU,3,江苏,
DONGLIDISTRICTTIA,3,东丽区,需填写
SHENZHENCITYGUANGDONGPROVINCE,3,广东,需填写
SHENZHENGUANGDONGPROVINCE,3,深圳,需填写
SHANDONGQINGDAO,3,青岛,需填写
TONGLING,3,铜陵,
PUDONGSHANGHAI,3,上海浦东,需填写
MANZHOULI,3,满洲里,
JIAXINGZHEJIANG,3,浙江,
LVLIANG,3,吕梁,
TONGXIANG,3,桐乡,
CHANGSHU,3,常熟,
WUZHOUCITY,3,市,
NANYANGCITYHENANPROVINCE,3,河南,需填写
PEKING,3,北京,
BEIJINGBEIJING,3,北京,需填写
HULUNBEIER,3,呼伦贝尔,
TANGSAN,3,唐山,
LINXIA,3,临夏,
YANGQUANSHANXI,3,山西,
BAOTOUCITYINNERMONGOLIAAUTONOMOUSREGION,3,包头,需填写
NANJINGCITYJIANGSU,3,江苏,
TAICANGCITYJIANGSUCHINA,3,江苏,需填写
SUZHOUCITYJIANGSUPROVINCE,3,江苏,需填写
WUZHOU,3,梧州,
ANHUIWUHU,3,芜湖,需填写
DG,3,东莞,
XINGYI,3,兴义,
WULANCHABU,3,乌兰察布,需填写
ZHENGZHOUCITY,3,市,
TIELINGSHI,3,铁岭市,
HARBINHEILONGJIANG,3,黑龙江,
BAOTOUCITY,3,包头,需填写
SUZHOUCITY,3,苏州,需填写
XUYI,3,盱眙,
QIQIHAERCITY,3,齐齐哈尔,需填写
MIANYANGCITYSICHUANPROVINCE,3,四川,需填写
SH,3,上海,
WLMQ,3,乌鲁木齐,
SHANDONGJINAN,3,济南,需填写
ERDOS,3,鄂尔多斯,
NULL,3,,需填写
TAICANG,3,太仓,
SHANXIXIAN,3,西安,需填写
SICHUANCHENGDU,3,成都,需填写
GUANGDONGSHENZHEN,3,深圳,需填写
QINGDAOCITYSHANDONGPROVINCE,3,山东,需填写
JIANGNINGNANJING,3,江宁,需填写
DAXING,3,大兴,
SHENYANGCITYLIAONINGPROVINCE,3,辽宁,需填写
YANTAICITYSHANDONGPROVINCE,3,山东,需填写
CHANGSHACITY,3,长沙,需填写
HONGHE,3,红河,需填写
PUTIAN,3,莆田,
NANJINGCITY,3,南京,需填写
SHIZUISHAN,3,石嘴山,
ZHANGYE,3,张掖,
GUANGZOU,3,广州,需填写
DONGGUANG,3,东莞,需填写
HANGZHOUCITY,3,杭州,需填写
SHAOXIN,3,绍兴,需填写
NANJIN,3,南京,需填写
QINGDAOCITY,3,青岛,需填写
GUIYANGGUIZHOU,3,贵州,
FANGSHANQU,3,房山区,需填写
ZHUHAIGUANGDONG,3,广东,
GZ,3,广州,需填写
SHAOYANG,3,邵阳,
HENANXINXIANG,3,新乡,需填写
FUZHOUFUJIAN,3,福州,需填写
JIANGSUCHANGZHOU,3,常州,需填写
BAODI,3,宝坻,需填写
EZHOU,3,鄂州,需填写
TONGZHOUDISTRICTBEIJING,3,北京通州,需填写
CHANGCHUNCITYJILINPROVINCE,3,长春,需填写
HENGSHUISHI,3,衡水,需填写
JIANGYINCITYJIANGSUPROVINCE,3,江苏,需填写
TIANJING,3,天津,需填写
HONGHU,3,洪湖,需填写
SHANGRAO,3,上饶,
JIANGSUNANJING,3,南京,需填写
WUXICITYJIANGSUPROVINCE,3,江苏,需填写
DONGGUANGUANGDONG,3,广东,
HENGYANG,3,衡阳,
SHUANGLIAO,3,双辽,需填写
HEZHOU,3,贺州,
WENSHAN,3,文山,需填写
WEINAN,3,渭南,
MIANZHU,3,绵竹,需填写
NANCHONGCITY,3,南充市,需填写
XIZANG,3,西藏,需填写
LISHUI,3,丽水,
YUNNANKUNMING,3,昆明,需填写
FUYANGANHUI,3,安徽,
HAIDIANDISTRICTBEIJING,3,北京海淀,需填写
BENBU,3,蚌埠,需填写
NANCHANGJIANGXI,3,江西,
XUZHOUCITY,3,徐州,需填写
LUOHE,3,漯河,
URUMQICITY,3,乌鲁木齐,需填写
KUITUN,3,奎屯,需填写
DONGCHENGDISTRICTBEIJING,3,北京东城,需填写
GUIZHOUGUIYANG,3,贵阳,需填写
ZIBOCITY,3,淄博,需填写
ZHUMADIAN,3,驻马店,
LIAONINGDALIAN,3,大连,需填写
DANYANG,3,丹阳,需填写
SHENYANGSHI,3,沈阳,需填写
JIAN,3,吉安,需填写
PINGLIANG,3,平凉,
ZIYANG,3,资阳,
TONGZHOUDISTRICT,3,通州区,需填写
ZHEJIANGTAIZHOU,3,台州,需填写
XINGANMENG,3,兴安盟,需填写
TONGCHUAN,3,铜川,需填写
JINCHENG,3,晋城,
LONGYAN,3,龙岩,
YONGCHUANCHONGQING,3,重庆永川,需填写
WANG,3,香港,需填写
TAOYUANCITY,3,桃园市,需填写
CHANGHWA,3,彰化,需填写
WONGTAUSIN,2,香港,需填写
TAIPO,2,香港,需填写
QUARRYBAY,2,香港,需填写
TUENMUN,2,香港,需填写
PLEASECONTACTMEVI,2,香港,需填写
MIDLEVELS,2,香港,需填写
HEBEICHINA,2,河北,需填写
ZHANGZHOUCITYFUJI,2,漳州,需填写
TAISHAN,2,泰山,需填写
YUEYANGCITYHUNANP,2,岳阳,需填写
GUANGZHOUCITYGUANG,2,广州,需填写
GUANGZHOUCITYCANTO,2,广州,需填写
HAIKOUHAINAN,2,海口,需填写
FUTIANSHENZHEN,2,福田,需填写
KUERL,2,库尔勒,需填写
ZIBOHUANTAI,2,淄博桓台,需填写
HANDANCITYHEBEIP,2,邯郸,需填写
XINHUGENERALYARD,2,香港,需填写
NANCHUANCHONGQING,2,重庆南川,需填写
XINZHOUSHANXI,2,山西,
HUANTAI,2,桓台,需填写
SHEZHEN,2,深圳,需填写
XINZHOUCITYSHANXI,2,山西,
CENXIGUANGXI,2,广西,
CHANGSHACITYHUNANPROV,2,长沙,需填写
MAANSHANANHUI,2,安徽,
BEIJINGCITY,2,北京,需填写
WULANHAOTE,2,乌兰浩特,需填写
XIANYANGSHANXIPROVINCE,2,咸阳,需填写
XIAOGANHUBEI,2,湖北,
BAOTOUCITYININNER,2,包头,需填写
QINZHOUGUANGXI,2,广西,
SHANXXIAN,2,西安,需填写
SHAANXIXIANYANG,2,陕西,需填写
JIANGSUXUZHOU,2,江苏,需填写
NANGJING,2,南京,需填写
WUWEIGANSU,2,甘肃,
YIXINGJIANGSU,2,江苏,
CHENGDUWUHOUZONGSH,2,,需填写
HOHHOTCITYINNERMONGOLIAAUTONOMOUSREGION,2,呼和浩特,需填写
YANGQUANSHI,2,阳泉市,需填写
HUNANPROVINCECHINA,2,湖南,需填写
COMMUNITYDAXINGDISTRICTBEIJINGCHINA,2,北京大兴,需填写
URUMUQ,2,乌鲁木齐,需填写
PIZHOUCITYXUZHOU,2,徐州邳州,需填写
ZHANGJIAKOUCITYHEBEIPROVINCE,2,河北,需填写
HULUNBEIERNEIMENGGU,2,内蒙古,
BORTALA,2,博尔塔拉,
HEBEILANGFANG,2,河北,需填写
HAIDIANDISTRICTBE,2,海淀,需填写
TONGSHANHUBEI,2,湖北,
BEJING,2,北京,需填写
CHAOYANGDISTRICTBE,2,朝阳,需填写
CP,2,昌平,需填写
HUI,2,惠州,需填写
HUZHOUDEQING,2,湖州德清,需填写
LA,2,拉萨,需填写
LINGCANG,2,临沧,需填写
TIANHEDISTRICTGUANGZHOUGUANGDONG,2,广东,
SHANGHAICITIBAOSHAN,2,上海宝山,需填写
XICHENG,2,西城,需填写
LINGSHUI,2,陵水,需填写
CANGZHOUCITY,2,沧州,需填写
HUAIROU,2,怀柔,需填写
DONGCHENG,2,东城,需填写
SUZHOUCITYJIANGSU,2,江苏,
SHEYANG,2,射阳,需填写
SHIJIAZHUANGCITYHEBEIPROVINCE,2,河北,需填写
TJ,2,天津,需填写
GAOMI,2,高密,需填写
CS,2,长沙,需填写
SD,2,山东,需填写
ZHONGGUO,2,中国,需填写
SHANGHAISHANGHAI,2,上海,需填写
AKSU,2,阿克苏,
JIAXINGCITY,2,嘉兴,需填写
TIELING,2,铁岭,
HENANLUOYANG,2,洛阳,需填写
BAIYIN,2,白银,
GONGYI,2,巩义,需填写
BAYANNAOER,2,巴彦淖尔,需填写
HRB,2,哈尔滨,需填写
JINZHOUCITYLIAONI,2,锦州,需填写
LINDIANCOUNTY,2,临猗县,需填写
TONGHUA,2,通化,需填写
SUIZHONG,2,绥中,需填写
SHISHI,2,石狮,需填写
DAQINGSHI,2,大庆,需填写
ALTAY,2,阿勒泰,需填写
QUJINGYUNNAN,2,云南,
FUJIAN,2,,需填写
MIANYANGSICHUAN,2,四川,
YIBINSICHUAN,2,四川,
FENGTAIBEIJING,2,北京丰台,需填写
SHANDONGSHENGSHOUGUANGSHI,2,山东,需填写
MUDANJIANGCITYHEILONGJIANGPROVINCE,2,黑龙江,需填写
SHENZHENCITYGUANGDONG,2,广东,
CHONGQI,2,重庆,需填写
SHANDONGBINZHOU,2,山东,需填写
JINZHONGSHI,2,晋中,需填写
SUIZHOUHUBEI,2,湖北,
GAOYANGCITY,2,高阳市,需填写
CHENGDEHEBEI,2,河北,
NANCHANGCITY,2,南昌,需填写
COMMERCIALBUILDING,2,香港,需填写
CHANGZHISHANXIBRA,2,长治,需填写
SHANXISHENGTAIYUANSH,2,山西,需填写
HUHEHOT,2,呼和浩特,需填写
ZJG,2,张家港,需填写
TANGSHANCITYHEBEI,2,河北,
HUNLUNBEIER,2,呼伦贝尔,需填写
TAIYUANSHSNXI,2,太原,需填写
SZ,2,深圳,需填写
SHENGZHENG,2,深圳,需填写
YONGZHOU,2,永州,
DU,2,都匀,需填写
BEIJINGHAIDIAN,2,北京海淀,需填写
SHAOGUANGUANGDONG,2,广东,
JINANSHI,2,济南,需填写
NINGXIA,2,宁夏,需填写
HENANSHENGZHENGZHOU,2,河南,需填写
ZHENGZHOUCITYHENANPROVINCE,2,河南,需填写
HEBEISHIJIAZHUANG,2,河北,需填写
DALI,2,大理,需填写
JINGHONG,2,景洪,需填写
HEDONGDISTRICTTIANJIN,2,天津河东,需填写
SUZHOUJIANGSUPROVINCE,2,苏州,需填写
KM,2,昆明,需填写
SOOCHOW,2,苏州,需填写
JINCHANG,2,金昌,
SHANDONGLAIYANG,2,山东,需填写
RUGAO,2,如皋,需填写
LIANYUNGANGJIANGSU,2,江苏,
SHANDONGPROVINCEZ,2,山东,需填写
TAI,2,台州,需填写
LAIYANG,2,莱阳,需填写
JINHU,2,金湖,需填写
YANGZHONGJIANGSU,2,江苏,
YANGZHONGJIANGSUPR,2,扬中,需填写
YANGZHONGCITYJIAN,2,扬中,需填写
HAIMEN,2,海门,需填写
NANTONGCHINA,2,南通,需填写
KAIYUAN,2,开远,需填写
SHOGUANG,2,寿光,需填写
LUZHOU,2,泸州,
CHONGQINGCITY,2,重庆,需填写
AMOY,2,厦门,需填写
QIDONG,2,启东,需填写
QIONGHAI,2,琼海,需填写
LANZHOUCITYGANSUPROVINCE,2,甘肃,需填写
SHANGHAIPRCHINA,2,上海,需填写
HEBEISHENG,2,河北,需填写
HANGZHOUZHEJIANGP,2,杭州,需填写
TIANTAIXIAN,2,天台县,需填写
ZHANGZHOUCITYFUJIA,2,漳州,需填写
XUHUIDISTRICTSHANGHAI,2,上海徐汇,需填写
GUANGDONGGUANGZHOU,2,广州,需填写
XILINHOT,2,锡林浩特,需填写
LINYICITY,2,临沂,需填写
TAIYUANCITYSHANXIPROVINCE,2,山西,需填写
JINGZHOUHUBEI,2,湖北,
WUYI,2,武义,需填写
LAOHEKOU,2,老河口,需填写
YICHANGHUBEI,2,湖北,
CHINABEIJING,2,北京,需填写
CHANGCHUNJILINPROVINCE,2,长春,需填写
YANCHEN,2,盐城,需填写
CHANGSHACITYHUNANPROVINCE,2,湖南,需填写
WUJIAQU,2,五家渠,
CHANGNINGDISTRICTSHANGHAI,2,上海长宁,需填写
JIANGSUWUXI,2,江苏,需填写
QINGDAOSHI,2,青岛,需填写
FUSHUNCITYLIAONINGPROVINCE,2,辽宁,需填写
BAISE,2,百色,
WUXISHI,2,无锡,需填写
ELECTRONICSSCIENCE,2,电子科大,需填写
YIYANG,2,益阳,
ZHANJIANGGUANGDONG,2,广东,
LILING,2,醴陵,需填写
JIANGJINDISTRICTCHONGQING,2,重庆江津,需填写
GANGZHOUGUANGDONG,2,广东,
NINGDE,2,宁德,
SHANTOUGUANGDONG,2,广东,
NANZHUANGTOWNCHAN,2,香港,需填写
HUNANYIYANG,2,湖南,需填写
ZHONGSHANG,2,中山,需填写
JIUQUANCITYGANSUPROVINCE,2,甘肃,需填写
HAERBING,2,哈尔滨,需填写
XIANGXI,2,湘西,需填写
NANJINGCITYJIANGSUPROVINCE,2,江苏,需填写
XUANCHENG,2,宣城,
JILING,2,吉林,需填写
FANGSHAN,2,房山,需填写
XIANCITY,2,西安,需填写
SHIFANG,2,什邡,需填写
XINGYIGUIZHOU,2,贵州,
ANSHUN,2,安顺,需填写
WENFENGSTREETSHUN,2,顺义,需填写
ZUNYIGUIZHOU,2,贵州,
XIAAN,2,西安,需填写
KUNSHANJIANGSU,2,江苏,
RENQIU,2,任丘,需填写
NEIMENGGUCHIFENGSHIHONGSHANQU,2,内蒙古,需填写
CHANGPINGDISTRICTBEIJING,2,北京昌平,需填写
JININGCITYSHANDONGPROVINCE,2,山东,需填写
HECHI,2,河池,
DATONGSHI,2,大同,需填写
XIANTAO,2,仙桃,
LIUZHOUSHI,2,柳州,需填写
PINGXIANG,2,萍乡,
HUZHOUZHEJIANGPROVINCE,2,湖州,需填写
XISHUANGBANNA,2,西双版纳,需填写
JINHUACITYZHEJIANGPROVINCE,2,浙江,需填写
YUXI,2,玉溪,需填写
DANDONGLIAONING,2,辽宁,
LINYICITYSHANDONGPROVINCE,2,山东,需填写
JINCHANGCITYGANSU,2,甘肃,
SHAOGUANG,2,,需填写
CHONGQINGCHINA,2,重庆,需填写
JIAXIN,2,嘉兴,需填写
YIBINCITYSICHUANPROVINCE,2,四川,需填写
GANZHOUCITYJIANGXIPROVINCE,2,江西,需填写
ANKANG,2,安康,需填写
XIANSHANNXI,2,西安,需填写
GUANGXINANNING,2,广西,需填写
YUZHOU,2,禹州,需填写
GUHAIDAOGUAJIASISTHEXIDISTTIANJIN,2,天津西青,需填写
LIUAN,2,六安,需填写
INNERMONGOLIAAUTONOMOUSREGION,2,内蒙古,需填写
WUHUCITYANHUIPROVINCE,2,安徽,需填写
HUBEISONGZI,2,湖北,需填写
LANGFANGHEBEIPROVINCE,2,廊坊,需填写
FUKANG,2,阜康,需填写
NIAONIN,2,辽宁,需填写
BEIZHENSHI,2,北镇市,需填写
SAOXIN,2,绍兴,需填写
LIUZHOUGUANGXI,2,广西,
SHAPINGBADISTRICTCHONGQING,2,重庆沙坪坝,需填写
SONGJIANGSHANGHAI,2,上海松江,需填写
BOMI,2,博美,需填写
YANJI,2,延吉,需填写
CQ,2,重庆,需填写
CHANGCHUNSHI,2,长春市,需填写
NANNINGGUANGXI,2,广西,
XINGTAISHI,2,邢台,需填写
ANSHANLIAONING,2,辽宁,
URUMCHI,2,乌鲁木齐,需填写
HAIDIANDISTRICT,2,海淀,需填写
XIAOGAN,2,孝感,
DONGYINGCITYSHANDONGPROVINCE,2,山东,需填写
BINZHOUSHI,2,滨州,需填写
WUXIJIANGSU,2,江苏,
XIANCITYSHAANXIPROVINCE,2,陕西,需填写
